long, Longitude
min_rel_hum_pst1hr, Past 1 hour Minimum Relative Humidity
avg_rel_hum_pst1hr, Past 1 hour Average Relative Humidity
max_vis, Maximum Horizontal Visibility
min_vis, Minimum Horizontal Visibility
vert_vis, Vertical Visibility
vis, Horizontal Visibility
min_vis_mt50-60, 10min Minimum Horizontal Visibility
max_vis_mt50-60, 10min Maximum Horizontal Visibility
max_vis_pst1hr, Past 1hour Maximum Horizontal Visibility
max_vis_mt50-60, 10min maximum Horizontal Visibility
min_vis_mt50-60, 10min Minimum Horizontal Visibility
air_temp, Air Temperature
dwpt_temp, Dew Point Temperature
air_temp_1, Air Temperature 1
air_temp_2, Air Temperature 2
air_temp_3, Air Temperature 3
air_temp_4, Air Temperature 4
air_temp_5, Air Temperature 5
air_temp_6, Air Temperature 6
avg_air_temp_pst1hr, Past 1 hour Average Air Temperature
max_air_temp_pst1hr, Past 1 hour Maximum Air Temperature
min_air_temp_pst1hr, Past 1 hour Minimum Air Temperature
max_air_temp_pst6hrs, Past 6 hours Maximum Air Temperature
min_air_temp_pst6hrs, Past 6 hours Minimum Air Temperature
air_temp_12hrs_ago, Past 12 hour air Temperature
max_air_temp_pst24hrs, Past 24 hours Maximum Air Temperature
min_air_temp_pst24hrs, Past 24 hours Minimum Air Temperature
min_air_temp_pst1hr, Past 1hour Minimun Air Temperature
max_air_temp_pst1hr, Past 1hour Maximum Air Temperature
max_air_temp_pst6hrs, Past 6hour Maximum air Temperature
min_air_temp_pst6hrs, Past 6hour Minimum Air Temperature
max_air_temp_pst24hrs, Past 24hour Maximum Air Temperature
min_air_temp_pst24hrs, Past 24hour Minimun Air Temperature
logr_panl_temp, Datalogger Panel Temperature
pcpn_gag_wt_fltrd, Gauge Weight Filtered
pcpn_amt_pst1hr, 1hour Precipitation Amount
pres_tend_amt_pst1hr, Past 1hour Differential Pressure Tendency Amount
pcpn_amt_pst3hrs, Derived Past 3hours Accumulated Precipitation Amount
pcpn_amt_pst6hrs, Derived Past 6hours Accumulated Precipitation AMount
pcpn_amt_pst24hrs, Derived Past 24hours Accumulated Precipitation Amountm
pcpn_snc_last_syno_hr, Precipitation Since Last Synoptic Hour
rnfl_snc_last_syno_hr, Rainfall Since Last Synoptic Hour
rnfl_amt_pst1hr, Past 1 hour Rainfall Amount
avg_cum_pcpn_gag_wt_fltrd_55-60, 5min Cumulative Precipitation Gauge Weight
data_pvdr, Data Provider
data_attrib_not, Data Attribution Notice
snw_dpth, Snow Depth
snw_dpth_1, 5min Average Snow Depth 1
snw_dpth_2, 5min Average Snow Depth 2
snw_dpth_3, 5min Average Snow Depth 3
snw_dpth_4, 5min Average Snow Depth 4
snw_dpth_5, 5min Average Snow Depth 5
snw_dpth_6, 5min Average Snow Depth 6
avg_snw_dpth_pst1hr, Past 1hour Average Snow Depth
data_avail, Data Availability
max_batry_volt_pst1hr, Past 1hour Maximum Battery Voltage
min_batry_volt_pst1hr, Past 1hour Minimum Battery Voltage
hdr_fwd_pwr, HDR trasmitter forward power
hdr_refltd_pwr, HDR transmitter reflected power
hdr_suply_volt, HDR transmitter supply voltage
hdr_oscil_drft, HDR transmitter oscillator drift
avg_uvb_indx_pst1hr, 5-minute Average UVB Index in Past 1hour
avg_globl_solr_radn_pst1hr, Past 1hour Average Global Solar Radiation
tot_globl_solr_radn_pst1hr, Past 1hour Total Global solar Radiation
avg_cum_pcpn_gag_wt_fltrd_mt55-60, avg_cum_pcpn_gag_wt_fltrd_mt55-60
data_prov, data_prov
pk_wnd_rmk, Derived Peak Wind Remark
rmk, Remark
altmetr_setng, Altimeter Setting
